Ano,Causas Externas,Aparelho Circulatorio,Neoplasias,Aparelho Digestivo,Sintomas e Sinais
2000,71581.00,39573.00,20628.00,15701.00,23100.00
2001,73521.00,39699.00,21414.00,15950.00,22970.00
2002,76898.00,38916.00,22143.00,16424.00,22649.00
2003,77416.00,39924.00,22801.00,16258.00,22451.00
2004,77491.00,41256.00,23839.00,16696.00,22317.00
2005,76828.00,40387.00,24746.00,16890.00,19244.00
2006,77539.00,42076.00,25643.00,17149.00,16684.00
2007,79156.00,42272.00,26453.00,17647.00,16107.00
2008,81667.00,43219.00,26894.00,18012.00,16242.00
2009,83899.00,42924.00,27725.00,17927.00,16294.00
2010,85410.00,43402.00,28464.00,18468.00,16236.00
2011,86187.00,44130.00,28635.00,18620.00,15799.00
2012,89528.00,43518.00,29274.00,18261.00,15047.00
2013,88419.00,43759.00,29664.00,18447.00,14841.00
2014,91287.00,43620.00,29652.00,18053.00,14150.00
2015,87239.00,43352.00,30063.00,17883.00,15296.00
