Ano,Aparelho Circulatório,Neoplasias,Aparelho Respiratório,Sintomas e Sinais,Endocrinas
2000,96386.00,42634.00,34135.00,45001.00,13585.00
2001,98076.00,44352.00,35186.00,46470.00,13924.00
2002,99779.00,46280.00,37033.00,46454.00,14557.00
2003,103458.00,48015.00,38937.00,46431.00,15526.00
2004,107825.00,50486.00,41221.00,44084.00,16265.00
2005,107276.00,53040.00,39213.00,35703.00,16909.00
2006,115072.00,56319.00,41326.00,28827.00,18563.00
2007,118286.00,58804.00,42160.00,26762.00,19306.00
2008,122266.00,61555.00,42331.00,26517.00,20707.00
2009,123578.00,62942.00,44821.00,26261.00,21762.00
2010,126614.00,66023.00,48327.00,26771.00,23145.00
2011,129862.00,68127.00,51619.00,26470.00,24521.00
2012,129653.00,70898.00,51451.00,25197.00,23934.00
2013,132984.00,73792.00,55772.00,24179.00,25236.00
2014,133329.00,76002.00,56596.00,24200.00,25144.00
2015,136225.00,78815.00,61140.00,26085.00,25701.00
